"","Rod.PR.CCA0","Rod.PR.CCA1","Bipolar.CCA2","Others.CCA3","MG.CCA4","Cone.PR.CCA5","Bipolar.CCA6","Bipolar.CCA7","Bipolar.CCA8","Amacrine.CCA9","Rod.PR.CCA10","Microglia.CCA11","RGC.CCA12"
"FAM138A",0.00443362038281397,0.0028568798846988,0.00730129571856045,0,0,0.00361654496992843,0.0162427577603836,0,0,0,0,0,0
"RP11-34P13.7",0.00447141365652667,0.00956976036114488,0.00821701975714127,0,0.00992548976936882,0.00202398011641934,0.00836880343594527,0.00454714112143413,0,0.0159258848867655,0,0,0
"RP11-34P13.8",0.000247746485579842,0.00118821857518334,0,0,0,0,0,0,0,0,0,0,0
"AP006222.2",0.294130882621699,0.26765200596676,0.255046047352019,0.221423548966519,0.140396589754819,0.462423325055592,0.295672899045496,0.257270719860452,0.283583294863349,0.30063705985691,0.388324094057995,0.25748831122716,0.184185731142327
"RP4-669L17.10",0.00575548276522303,0.0119825645487283,0.0059567497747958,0,0.01883281612054,0.0114718758797986,0.0299847417231867,0.00604050034672472,0.0127100333002872,0.0876005353378322,0,0.0335871998718954,0
"RP5-857K21.4",0.000226051034457004,0.00189509636938907,0.00407954792081761,0,0,0.00198123767917818,0,0,0,0.0116445342884957,0.0949766832242684,0,0
"RP11-206L10.9",0.34551879445333,0.442658443341431,0.316668809177292,0.195096550970616,0.120982547545158,0.38417760095517,0.506983401352877,0.350059617822976,0.371384123209961,0.234082456895285,0.316606770781068,0,0.370434212653552
"FAM87B",0,0.00040874718986307,0,0,0,0,0,0,0,0,0,0,0
"LINC00115",0.0322283163882619,0.113654361922197,0.0980183825160594,0.0134766292196534,0.0742967259574352,0.0506304927451313,0.124994815427927,0.215041399942064,0.114802820040445,0.0381219661034035,0.295459501047446,0.358307208593448,0
"FAM41C",0.040734320190645,0.0476785448317063,0.0238638307782113,0.0138385253690521,0.0100918366859364,0.0354628209063528,0.0396593020047189,0.011961355425052,0.0146560261453654,0.0447082018527582,0.0157767526394507,0.0892628549412249,0.014999272535282
"RP11-54O7.1",0.00107126017675209,0.00316976418859354,0,0.00364010831506302,0,0,0.00430050186856806,0,0,0.00688511768043139,0,0.00710869984012534,0
"RP11-54O7.3",0.00458178520137055,0.00646019233747646,0,0,0.00803863994872362,0,0.0113738867296686,0,0,0,0.0272689096253797,0,0
"SAMD11",2.5592173623632,3.30500698547584,0.0371214174608513,1.11800293640364,0.283894399451139,0.374186545312271,0.23167972732541,0.127755073920604,0.182311808978949,0.195422268685849,2.51683638320229,0.354517251416988,0
"NOC2L",0.278321468220724,0.648638627659778,0.382278021458785,0.137509927808569,0.300308791723347,0.193816024880494,0.481688735797412,0.514643370656215,0.448171541609433,0.692500940635607,0.513377095969407,0.257274451480881,0.308712854357082
"KLHL17",0.00961954457455112,0.0251796407544742,0.00916736006134684,0.0169415747434603,0.00771899674339707,0.0210585864734611,0.0521515804694318,0.0461386345563194,0.0247668625761896,0.0648394085687536,0,0,0
"PLEKHN1",0,0.00102050729825999,0,0,0,0,0,0,0,0,0,0,0
"PERM1",0.00318913550828123,0.00153121467466179,0,0,0,0,0,0,0,0,0,0,0.0329805277282852
"RP11-54O7.17",0,0,0,0,0.0245868446021743,0,0,0,0,0,0,0,0
"HES4",0.00737362186208996,0.00807659948522688,0.0246773061355827,0.745481936941391,1.10700658373097,0.00588163513153903,0.0533054396551623,0.0305812937829895,0.0116623515965759,0.26282009163814,0,0,0.130496506389761
"ISG15",0.00126358664231717,0.00102872614898424,0.119610083886322,0.116670495608482,0.0920589647560582,0.00302235423865537,0.0637385981476226,0.0694627065320116,0.0312436525095349,0.0128003402421356,0,0.300124543476047,0
"RP11-54O7.11",0,0,0,0,0,0,0,0,0,0,0,0,0
"AGRN",0.00950896674985864,0.0241876758531232,0.0136118576554962,0.0260080780724122,0.125601833919911,0.00409157601779999,0.00918638954769208,0,0.00721850709723618,0.0203563856006841,0.0665989966335376,0,0
"C1orf159",0.0751753288173556,0.0691375390192115,0.0761921339853265,0.0192025755976141,0.0396417508012659,0.0550895360499032,0.065586111381784,0.0601780504340582,0.0780221755362491,0.112858967073311,0,0,0.0105176027859026
"TTLL10-AS1",0,0.00249066240605031,0,0,0,0,0,0,0,0,0,0,0
"TTLL10",0,0.00168729490139554,0,0,0,0,0.0188448958285567,0,0,0,0,0,0
"TNFRSF4",0,0,0,0,0,0,0,0.0480833958417479,0,0,0,0.0223910507448383,0
"SDF4",0.594665334115327,0.421525949982908,0.408875775359113,0.568549484872203,0.64365641249504,0.273495381116748,0.302871048314553,0.486577698434332,0.415044424108301,0.455074918983149,0.360255740577143,0.458518797080308,0.118522732660124
"B3GALT6",0.019440703460178,0.0275318999639015,0.0346963128684972,0.0215648356457112,0.00924316037205931,0.0169646484124698,0.0301774201907699,0.0214645261254571,0.00970809694117282,0.0947807220306075,0.0118720854030336,0.0657477247001428,0.0456189811456751
"C1QTNF12",0.00145246181595581,0.000818804466873137,0.0187435565192336,0.00879605725529589,0,0,0,0.0336165082350789,0.0254401886256278,0.0217992204598763,0,0.00650480119376111,0.0242572432128233
"RP5-902P8.12",0.000258481795799175,0.00376724303545837,0,0,0,0,0,0,0,0,0,0,0
"UBE2J2",0.403939076639525,0.607378812798888,0.44770702971051,0.257816850270867,0.498616313935631,0.357212492879785,0.477864330621911,0.641684518368176,0.605346694562304,0.604023584723405,0.557193888902171,0.209673152860124,0.0364922216829483
"LINC01786",0,0.000988904491604201,0,0,0,0,0,0,0,0.0217992204598763,0,0,0
"SCNN1D",0.00632584680243656,0.00995133503931572,0.0253669527605777,0.00640680541916154,0.0893980006935329,0.00525975505118902,0.0143312322051809,0.0121739807943279,0.0325009111209951,0.0245304766997992,0.0406112810016366,0.032660526487687,0
"ACAP3",0.586872958293648,1.67797332290714,0.693674972817635,0.301368465408675,0.279400357470576,0.317245158641827,0.850656529599603,0.712803057733478,0.767694303973829,1.17386161334516,1.40076970556843,0.0674773774704868,0.656432860290613
"PUSL1",0.129216023010973,0.11053786420188,0.0499067752185725,0.0724053339537185,0.0461244365840635,0.0529303573061493,0.160439232814967,0.168061758669073,0.136048318466312,0.0936008202342398,0.0496224014951327,0.0192698322899403,0.0193290126547046
"INTS11",0.218408177193353,0.258453006273098,0.289478763623377,0.20045557250553,0.31752763410013,0.149897618215849,0.389808682595025,0.341342634035808,0.245438068633581,0.516952100726575,0.398334097816467,0.13644107484139,0.00928207770027243
"CPTP",0.0901435189756137,0.110141723489309,0.114582611587802,0.114868925072955,0.116519723099968,0.101832523050831,0.0827945337970439,0.108211928880667,0.156912757922643,0.272338590387971,0.0767598086496202,0.0108667186095816,0.093199335669299
"TAS1R3",0,0,0,0,0.0235724416876449,0,0,0,0,0,0,0,0
"DVL1",0.0679352589631654,0.0780290011222804,0.101546240947706,0.091959425245081,0.0573902560910361,0.101879497543321,0.147471207167039,0.136709847420752,0.0886573671051613,0.124655298093871,0.0720539590608344,0.0121158811335134,0.0548630617977528
"MXRA8",0,0.00231857750154361,0.00177919987246695,0.263547243177575,0.407983587263019,0.0314268400123713,0.0149148214546724,0.0156368307577718,0.00546487506202633,0.00640961544871154,0,0,0
"AURKAIP1",3.00934623685161,2.0482676623626,2.91460302945985,2.94725280338403,2.59516759278619,3.0089508848746,2.65827805775544,2.64588359913759,2.90627369471,2.36906444139189,1.5596039963901,1.17716513474641,5.56703695662013
"CCNL2",0.150436040692965,0.534672879836915,0.300458180068737,0.218100721493455,1.04565517638039,0.370295492836351,0.381891874706874,0.394706473243322,0.377759003310859,0.65691125665164,0.533634438608518,0.536526184168009,0.226341228891786
"MRPL20",1.97087181777112,1.62792392933069,1.76033424687803,2.9504062776915,2.11029435467539,1.66093729021934,1.82497750049663,1.79241738411831,1.71635676572992,1.67647327641888,1.12948971335538,0.900924213358553,3.64264577703105
"RP4-758J18.13",0.00466941070062392,0.0208191042246296,0,0.00331542231683701,0.00800611667313828,0.0226738639867127,0.00267371529317021,0.0335411847035771,0.00878774777054839,0.00569542247504835,0,0,0
"ANKRD65",0.00977571721114554,0.00505362437381373,0.0105733738382464,0.0892665785209937,0.113087958244619,0,0.162525205874522,0.0729019815422102,0.0486347697723848,0.31325186520444,0,0.0305539173839891,0.840158070058591
"LINC01770",0,0,0,0,0.049123917867311,0.00222254226830886,0,0,0,0,0,0,0
"VWA1",0.00430173765468311,0.00699288185803937,0.00283368801661675,0.189925074973615,0.304865768577195,0.00226612152847178,0.025934075809548,0,0.0104314010206083,0.00796988022863993,0.0186075245107617,0,0
"ATAD3C",0.0235391356698117,0.0509367560642668,0.0623090908276572,0.0441895357921183,0.024160298518604,0.131022281433351,0.0940785739425582,0.00571679457041719,0.0841767977326229,0.0949093975772663,0.0334145240070835,0,0.014999272535282
"ATAD3B",0.0471696300887666,0.0869564638569272,0.0519332375202379,0.0585995415472063,0.0985482330735138,0.0271588364781043,0.113549496180714,0.0627209291760707,0.0615000171174451,0.10589988382953,0.0307150777245042,0.11101502370979,0
"ATAD3A",0.0506690895978517,0.0737703685718573,0.0289771801762231,0.109609066826457,0.132723296754204,0.0539793669100779,0.0568655449377584,0.075002726323262,0.0292677128042697,0.0871757646544438,0.0243918501950128,0.09659429056911,0.00928207770027243
"TMEM240",0.00495834053963319,0.00160120660685761,0.0103506004783032,0,0.0563155069643381,0,0.0113110435809617,0.0304572072660618,0.0107828802367058,0.0564224434491326,0,0,0
"SSU72",1.37783796883973,1.138986234066,2.10198535498957,1.89986507172185,1.54708778984989,1.49577804683508,2.32848961274483,1.81774266526082,2.36677847153386,1.93761824041518,0.913856803048113,0.904292243157901,3.62880615629188
"RP5-832C2.5",0.0488848267989476,0.10298496486682,0.0392031072352844,0.0792971187609977,0.0419202096068836,0.0538162574568431,0.039114588857801,0.0827072037458031,0.0485158399384521,0.101809516698589,0.141994794232208,0.0891674244663018,0
"FNDC10",0,0.00209408945551247,0.00521241639284106,0.00592316982400243,0,0.00172067788514234,0,0.0116404554747654,0.0144914934933194,0.143689616674482,0,0,0.0548630617977528
"RP11-345P4.9",0.616274156599823,0.676453184670734,0.587089279396287,0.707689202270761,0.744876178114854,0.665752733358792,0.695864250274677,0.501554896759469,0.691132425375024,0.565167927863607,0.642326956640512,0.166857976301721,0.573861843943962
"MIB2",0.179179262962532,0.262645465338295,0.2061599229399,0.333006518656402,0.250174804213976,0.2408398252361,0.262385347225278,0.271943311391648,0.277997326636267,0.286897160157125,0.540712356871213,0.125249336182264,0.028611090354977
"MMP23B",0.00962761050742466,0.0261073655388613,0.00469998076216767,0.0218603976146051,0,0,0.0114471747228067,0,0,0.00592398812358861,0.0511581871344982,0,0
"CDK11B",0.345369385547029,0.509373049926347,0.355343431437826,0.345282198356808,0.356350637809793,0.358328243416897,0.544693245980937,0.484522185479973,0.442440327717743,0.550795615016929,0.529216907375684,0.218007085302477,0.309791513048693
"RP11-345P4.10",0.0153066230085913,0.0212990267368404,0.0120882383056276,0.032710178808783,0.0104711863790122,0,0,0,0.0188209118404802,0,0,0.0992683919513188,0.0224629249423826
"SLC35E2B",0.223444988093651,0.529172438552358,0.203310282689001,0.151079013760401,0.282858770544188,0.624185077451901,0.293930977796256,0.422123463656405,0.313921164081672,0.586063595208901,0.491523859665218,0.296247047946766,0.014999272535282
"CDK11A",0.194568817310575,0.416315657857506,0.27687308509956,0.0798551321228107,0.319902135733093,0.205189944230845,0.277077796559463,0.210400514525531,0.256367985064055,0.262921904597558,0.451368344350648,0.156959091225036,0.145592176820503
"SLC35E2",0.01177770257307,0.0381382575459524,0.0305091162469161,0,0.0363031205031017,0.0247825971057781,0.0248112097320903,0.036420733818957,0.0437449567408428,0.0686840866014766,0.0203143441615559,0,0
"NADK",0.127043733938469,0.18534095608424,0.0792255812280903,0.0414420202067849,0.0719162936865866,0.152903600456448,0.0856451703064808,0.0744522293262346,0.0571288856215435,0.108815267835248,0.211346162045393,0.168465130496428,0.138980103729981
"GNB1",22.1678520090203,22.9558802195267,0.78143282053619,8.690634690453,2.54481146628498,2.11151173434413,1.98835147534357,1.52511599629061,1.01882562403598,2.5736216797189,21.0154833629029,2.61743747036312,3.80106206987998
"RP1-140A9.1",0,0,0,0.00763787315784047,0.00899734728573329,0,0,0,0,0,0,0.00748903792074351,0.111689414077334
"CALML6",0.00139548838604791,0.000793786619361218,0,0,0,0,0,0,0,0,0,0,0
"TMEM52",0.00824964266184962,0.0122334266677635,0,0.0236075685318399,0.0201909625293173,0,0,0.0156558224003507,0,0,0,0,0
"CFAP74",0.00299146694450962,0.0102557836888066,0.00713207195629597,0,0.0128673611310955,0.015965558434443,0.00961765956178096,0,0,0,0.0643931588708016,0,0
